

















Name: Chapel of the Generous Woman, Paraty, City: Paraty
Name: Cathédrale Saint - André , City: Bordeaux
Name: Galway Cathedral, City: Galway
Name: Galway City Museum, City: Galway
Name: Galway Bay, City: Galway
Name: Lynch's Castle, City: Galway
Name: Eyre Square, City: Galway
Name: Hall of the Red Earl, City: Galway
Name: Nicholas Burke’s Pub, City: Galway
Name: Oyster Festival, City: Galway
Name: Galway Atlantaquaria, City: Galway
Name: Galway Arts Centre, City: Galway
Name: Nicea, City: Nice
Name: Galway City Gaol, City: Galway
Name: Spanish Arch & River Corrib, City: Galway
Name: Claddagh Park, City: Galway
Name: Vieux Port, City: Marseille
Name:  Notre-Dame de la Garde, City: Marseille
Name: Château d'If, City: Marseille
Name: Palais Longchamp, City: Marseille
Name: MuCEM, City: Marseille
Name: Old Port, City: Marseille
Name: Parc Borely, City: Marseille
Name: Corniche Président John F Kennedy, City: Marseille
Name: Rancho, City: Escaldes-Engordany
Name: Marché aux Poissons, City: Marseille
Name: Parc Longchamp, City: Marseille
Name: Corniche Kennedy, City: Marseille
Name: La Joliette, City: Marseille
Name: Pharo Gardens, City: Marseille
Name: King John's Castle, City: Limerick
Name: Hunt Museum, City: Limerick
Name: Limerick City Gallery of Art, City: Limerick
Name: Communauté Urbaine Marseille Provence Métropole MPM, City: Marseille
Name: Christ Church Cathedral, City: Dublin
Name: Marseille and Pistes, City: Marseille
Name: Musée du Vieux Marseille, City: Marseille
Name: Docklands Area, City: Dublin
Name: Merrion Square, City: Dublin
Name: Dublinia Museum, City: Dublin
Name: Les Bateaux Lyonnais, City: Lyon
Name: Temple Bar, City: Dublin
Name: Dublin Botanic Gardens, City: Dublin
Name: Cork City Gaol, City: Cork
Name: English Market, City: Cork
Name: Cork City Hall, City: Cork
Name: Cork Butter Museum, City: Cork
Name: Cork Museum, City: Cork
Name: Crawford Art Gallery, City: Cork
Name: University College Cork, City: Cork
Name: St. Anne's Church, City: Cork
Name: Elizabeth Fort, City: Cork
Name: Cork City Hall Murals, City: Cork
Name: Cork City Library, City: Cork
Name: University College Cork Botanic Gardens, City: Cork
Name: Petite France, City: Strasbourg
Name: Grand Île, City: Strasbourg
Name: Cannes Sign, City: Cannes
Name: European Parliament, City: Strasbourg
Name: Ponts Couverts, City: Strasbourg
